rowID	row_ID	row_m_z	row_retention_time	ID	Identification_method	Molecular_formula	Name	VAR36
met_566	1991	274.1039	1.19					
met_567	1143	131.0712	8.06					
met_568	1476	528.1830	7.51					
met_569	1051	333.0567	2.84					
met_570	1790	795.1928	0.80					
met_571	1293	673.2135	14.42					
met_572	1233	219.0142	0.90					
met_573	889	133.0463	0.83					
met_574	1335	368.9763	12.17					
met_575	1029	189.0768	7.22					
met_576	211	253.1440	11.65					
met_577	1034	173.0453	6.54					
met_578	1605	377.1459	8.00					
met_579	1552	469.0198	0.81					
met_580	979	356.2549	8.95					
met_581	1013	188.0561	1.29					
met_582	1823	509.0899	0.80					
met_583	1960	653.1382	1.63		Complex search		Complex of 306.0759 an	
met_584	2047	319.1658	9.92					
met_585	1136	237.0434	6.56					
met_586	903	378.0972	0.89					
met_587	1562	286.1402	6.57					
met_588	200	311.1861	12.68	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_589	1570	763.1841	1.22					
met_590	80	329.2329	10.54					
met_591	1242	194.0388	6.35					
met_592	2056	288.1559	6.69					
met_593	1024	261.1341	7.29					
met_594	932	191.2942	1.78					
met_595	1821	763.2603	0.81					
met_596	1044	261.1341	7.00					
met_597	1022	258.1453	6.61					
met_598	1299	347.0222	1.03					
met_599	1240	779.2052	1.21		Adduct search		[M+CHOONa] 67.9874 m/z	
met_600	204	387.1554	15.47					
met_601	1344	263.1398	8.01					
met_602	1218	389.0828	1.24					
met_603	2006	228.0511	6.35					
met_604	1241	639.2667	8.73					
met_605	1147	390.2391	9.52					
met_606	1710	120.9964	6.65					
met_607	920	181.0714	0.81	ISO-6	Negative_Garrett_Std_Library.csv	C6H14O6	HEXOSE ALCOHOL	
met_608	1142	953.5460	16.49					
met_609	1497	497.1111	0.93					
met_610	1151	161.0817	6.53					
met_611	1181	237.0434	6.41					
met_612	968	402.1984	6.99					
met_613	1064	139.0398	6.06					
met_614	1655	121.0293	9.55					
met_615	2014	201.0876	3.13					
met_616	1718	349.1089	6.32					
met_617	1808	137.0241	6.06					
met_618	1398	531.1198	0.90					
met_619	247	379.1550	13.40		Adduct search		[M+CHOONa] 67.9874 m/z	
met_620	1235	429.1238	0.87					
met_621	1160	203.0669	0.84					
met_622	2003	289.0928	6.52					
met_623	1062	139.0399	8.84					
met_624	2027	365.0519	0.75					
met_625	2130	360.1417	6.33					
met_626	218	326.1877	15.14					
met_627	1266	277.0253	0.91					
met_628	1330	239.0766	0.92					
met_629	898	148.9699	0.85					
met_630	1302	116.0714	0.90	6287n	Negative_Garrett_Std_Library.csv	C5H11NO2	L-VALINE	
met_631	934	444.2458	7.89					
met_632	981	216.0875	7.14					
met_633	2103	217.1188	1.35					
met_634	1125	242.0795	0.78					
met_635	1651	288.1197	1.07					
met_636	1631	287.0016	1.26		Adduct search		[M+Na-H] 21.9825 m/z a	
met_637	1130	197.0216	0.77					
met_638	1318	85.0288	1.69					
met_639	1295	337.0401	6.52					
met_640	1523	364.0813	1.79					
met_641	992	338.0481	6.51					
met_642	2098	152.9949	0.72					
met_643	289	394.9750	11.47					
met_644	970	252.9631	0.94					
met_645	927	335.1707	8.51					
met_646	1183	506.9905	0.94					
met_647	1975	566.1555	0.79					
met_648	1495	453.2154	9.83					
met_649	1177	492.1829	6.22					
met_650	1377	308.9779	0.71					
met_651	1957	194.0266	1.72					
met_652	943	279.0904	7.90					
met_653	93	544.9653	13.30					
met_654	1650	394.0914	0.83					
met_655	76	181.0867	11.10					
met_656	1291	331.1620	6.73					
met_657	1396	501.3907	14.01					
met_658	990	272.1611	6.76					
met_659	946	177.0035	1.07					
met_660	2042	316.1661	9.01					
met_661	1180	389.0699	6.13		Adduct search		[M+CHOONa] 67.9874 m/z	
met_662	1620	445.2356	13.62					
met_663	1588	309.1011	9.84					
met_664	91	494.9683	12.68					
met_665	256	393.1711	13.97		Adduct search		[M+CHOONa] 67.9874 m/z	
met_666	1259	302.9962	1.08					
met_667	1214	197.0928	0.81					
met_668	1009	359.1928	6.89					
met_669	1468	621.2563	8.73					
met_670	1807	199.0243	6.29					
met_671	1714	315.1297	6.34					
met_672	1381	402.0094	0.80	6132n	Negative_Garrett_Std_Library.csv	C9H15N3O11P	CYTIDINE 5'-DIPHOSPHAT	
met_673	1310	371.2297	8.10					
met_674	206	337.2049	14.11					
met_675	1032	137.0242	7.40	135n	Negative_Garrett_Std_Library.csv	C7H6O3	4-HYDROXYBENZOATE	
met_676	2104	217.1189	6.34					
met_677	440	117.0191	11.93					
met_678	1172	131.0712	7.84					
met_679	1368	549.0515	0.81					
met_680	2101	635.2504	14.07					
met_681	1211	503.1605	0.83	439242n	Negative_Garrett_Std_Library.csv	C18H32O16	D-(+)-RAFFINOSE	
met_682	1624	259.1295	7.00					
met_683	2049	316.1507	6.50					
met_684	1745	208.0611	6.84					
met_685	1451	279.1081	6.62					
met_686	1292	452.1909	7.53					
met_687	220	339.1991	14.51					
met_688	960	295.2272	13.52					
met_689	1140	601.1282	0.85					
met_690	195	309.1702	12.50					
met_691	1363	665.1432	0.82					
met_692	1519	373.1727	6.87					
met_693	1253	639.2667	8.60					
met_694	207	397.2257	13.30	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_695	229	259.0356	13.63					
met_696	238	333.1345	12.67		Adduct search		[M+CHOONa] 67.9874 m/z	
met_697	928	491.2497	8.53					
met_698	1719	407.1556	8.52					
met_699	875	344.1819	7.64					
met_700	215	321.2096	14.81					
met_701	1364	230.1030	7.64					
met_702	1169	131.0712	7.65					
met_703	1498	207.0063	7.95					
met_704	1400	231.0870	7.47					
met_705	1955	430.1938	6.15					
met_706	92	444.9719	12.08					
met_707	1360	390.1333	7.25					
met_708	1869	654.1800	0.82					
met_709	1776	117.0554	4.79					
met_710	963	293.1503	7.65					
met_711	1457	202.0717	3.20					
met_712	1857	346.0548	0.81					
met_713	1568	133.0269	0.89					
met_714	1225	364.1872	8.87					
met_715	1954	768.1375	0.81					
met_716	1388	247.0262	0.85					
met_717	1799	139.0399	7.96					
met_718	2058	316.1507	6.81					
met_719	1026	357.2136	8.05					
met_720	1016	414.2351	7.72					
met_721	1905	606.6530	6.48					
met_722	2000	677.2499	7.29					
met_723	1565	763.1827	0.83					
met_724	341	337.1179	12.81		Adduct search		[M+CHOONa] 67.9874 m/z	
met_725	1405	586.1911	0.81					
met_726	1238	435.2245	8.89					
met_727	1843	184.0244	0.87					
met_728	1946	301.2168	15.34					
met_729	1894	278.1061	8.05					
met_730	1958	839.2272	0.93					
met_731	1158	506.9906	0.82					
met_732	2091	173.0563	1.23					
met_733	1404	505.2087	11.32		Adduct search		[M+CHOONa] 67.9874 m/z	
met_734	1892	358.1137	7.55					
met_735	1296	567.3499	9.10					
met_736	1173	169.0075	1.17					
met_737	1482	265.0746	7.45					
met_738	1589	351.0560	1.23		Complex search		Complex of 175.0243 an	
met_739	246	207.1022	11.64					
met_740	1298	242.0667	7.09					
met_741	2105	96.0450	6.48					
met_742	2094	385.1724	6.86					
met_743	895	132.9812	0.90					
met_744	1370	291.1962	12.75					
met_745	110	127.0020	9.39					
met_746	1037	314.2084	7.59					
met_747	1021	261.1341	6.58					
met_748	972	159.0296	0.72					
met_749	1308	438.5834	6.21					
met_750	1221	259.1294	7.31					
met_751	2141	635.2509	15.95					
met_752	1224	391.1984	8.80					
met_753	1138	243.1233	9.55					
met_754	1569	125.0178	0.92					
met_755	1020	300.1924	7.21					
met_756	1988	223.0641	6.27					
met_757	2131	330.2028	8.40					
met_758	1312	181.0140	7.42					
met_759	1019	300.1924	8.34					
met_760	208	243.1595	11.52					
met_761	1876	709.2043	1.22		Adduct search		[M-HCOOH+H]+ -46.0055	
met_762	1879	274.1039	0.82					
met_763	1030	359.1928	6.57					
met_764	1301	477.2351	8.50					
met_765	1507	72.0083	0.73					
met_766	1276	312.1085	7.55					
met_767	2078	401.2400	7.91					
met_768	2079	358.1980	7.79					
met_769	1749	386.0710	6.28					
met_770	1658	261.1341	6.72					
met_771	1479	382.5495	6.54					
met_772	1949	163.0607	0.86		Negative_Garrett_Std_Library.csv	C6H12O5	2-deoxy-D-galactose (f	
met_773	335	457.1835	15.96					
met_774	1059	217.0348	1.10		Complex search		Complex of 115.0030 an	
met_775	322	239.0592	15.66					
met_776	1514	292.0784	1.23					
met_777	1186	173.0815	9.01					
met_778	1480	403.5547	6.92					
met_779	2086	233.0299	1.99		Complex search		Complex of 117.0191 an	
met_780	1179	188.0560	0.96					
met_781	1324	217.0156	0.91					
met_782	345	177.0917	12.10					
met_783	1378	162.0406	0.75					
met_784	1709	695.1964	14.42		Adduct search		[M+CHOONa] 67.9874 m/z	
met_785	1573	187.1084	1.35	92907n	Negative_Garrett_Std_Library.csv	C8H16N2O3	NALPHA-ACETYL-L-LYSINE	
met_786	225	227.1286	11.28					
met_787	387	225.1492	10.62		Adduct search		[M-NH3+H]+ -17.0265 m/	
met_788	1392	433.1187	0.85					
met_789	425	267.0868	10.65					
met_790	1987	677.2442	7.69		Adduct search		[M+Na-H] 21.9825 m/z a	
met_791	1411	402.2121	8.96					
met_792	1846	407.1923	6.74					
met_793	209	266.1030	13.18					
met_794	1025	172.0612	1.10					
met_795	1131	261.0014	0.74					
met_796	902	249.0071	0.84					
met_797	212	229.1441	11.01					
met_798	1049	113.0605	7.92		Adduct search		[M-HCOOH+H]+ -46.0055	
met_799	1673	243.0616	1.52					
met_800	1848	209.0661	0.72					
met_801	1422	189.0767	7.34					
met_802	1766	487.1296	0.94					
met_803	292	594.9624	13.94					
met_804	1053	315.1669	6.85					
met_805	2077	444.2091	6.30					
met_806	1512	299.0984	0.82					
met_807	1748	282.9617	0.73					
met_808	414	343.2118	9.48					
met_809	2055	330.1669	6.75					
met_810	1297	302.1717	7.09					
met_811	1937	587.1578	0.79					
met_812	1792	189.0402	2.53					
met_813	1227	221.0291	0.80					
met_814	1818	201.1130	9.73					
met_815	1888	287.0015	1.12					
met_816	1653	120.9966	8.01					
met_817	363	644.9590	14.60					
met_818	1608	225.0877	6.74					
met_819	2050	245.0775	2.31					
met_820	2083	316.1870	7.81					
met_821	1695	114.9361	7.07					
met_822	984	190.7438	1.80					
met_823	1630	247.1182	8.34					
met_824	1938	343.1127	0.80					
met_825	2063	429.2354	8.05					
met_826	1134	273.0223	2.99					
met_827	1028	357.2137	7.74					
met_828	1174	131.0712	7.32					
met_829	1511	459.2350	8.74					
met_830	1018	163.0245	1.44					
met_831	1379	341.1782	11.07					
met_832	122	247.0582	11.53		Adduct search		[M+CHOONa] 67.9874 m/z	
met_833	1597	451.2001	11.35					
met_834	2072	190.0538	7.23	1826n	Negative_Garrett_Std_Library.csv	C10H9NO3	5-HYDROXYINDOLEACETATE	
met_835	1376	179.1074	10.35					
met_836	1884	260.0887	0.78					
met_837	1978	302.1716	7.34					
met_838	1223	379.0815	0.85					
met_839	1429	291.1963	12.85					
met_840	1137	417.1242	0.89					
met_841	221	381.2309	14.25					
met_842	1320	302.1715	6.70					
met_843	217	313.2378	13.69					
met_844	1040	187.1084	6.71					
met_845	1571	130.9983	1.77					
met_846	1777	221.0662	1.32		Complex search		Complex of 101.0239 an	
met_847	1738	293.1240	7.60					
met_848	1952	371.2297	8.43					
met_849	1288	357.0599	0.86					
met_850	1936	594.6048	0.80					
met_851	1426	305.1752	11.52					
met_852	279	257.1309	13.97					
met_853	321	330.9793	11.46					
met_854	232	239.0670	14.30	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_855	1606	585.3264	13.56					
met_856	1795	168.9902	0.76	668n	Negative_Garrett_Std_Library.csv	C3H7O6P	DIHYDROXYACETONE PHOSP	
met_857	1481	186.9728	0.79					
met_858	366	229.0087	13.60	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_859	1380	445.2959	14.77					
met_860	1956	472.2407	7.43					
met_861	236	263.1646	12.93					
met_862	1633	127.0763	8.38					
met_863	2074	386.2037	6.88					
met_864	1046	314.2084	8.35					
met_865	1159	233.0774	0.79					
met_866	314	207.1386	12.19					
met_867	2066	477.2826	8.06					
met_868	266	247.0931	12.18					
met_869	1322	357.2137	7.63					
met_870	2071	342.2393	8.64					
met_871	1343	279.1347	7.06					
met_872	1148	169.0140	7.27					
met_873	1048	231.0979	1.05					
met_874	2067	476.2507	8.75					
met_875	2064	372.2139	8.42					
met_876	244	228.1599	10.04					
met_877	1162	141.0127	0.80					
met_878	210	295.1543	12.98					
met_879	22	429.3033	16.79					
met_880	1761	293.1241	7.04					
met_881	2052	247.0931	2.12					
met_882	1809	328.0578	6.53		Adduct search		[M-NH3+H]+ -17.0265 m/	
met_883	2061	360.1949	8.37					
met_884	1739	421.1715	9.02					
met_885	1509	435.2051	11.66					
met_886	338	358.1648	14.30					
met_887	1430	438.2243	11.68					
met_888	1758	199.0973	9.53					
met_889	1294	126.9975	0.80					
met_890	1395	164.0350	9.17					
met_891	1820	461.1505	0.79					
met_892	1483	125.0607	7.80					
met_893	2069	346.1616	6.69					
met_894	1055	203.0561	6.97					
met_895	1041	189.0766	8.37					
met_896	1642	138.0559	7.72					
met_897	1316	320.9541	1.06					
met_898	1017	187.0972	8.66	2266n	Negative_Garrett_Std_Library.csv	C9H16O4	AZELAIC ACID	
met_899	446	694.9563	15.26					
met_900	2020	362.0501	0.95					
met_901	1806	431.2199	12.94					
met_902	213	236.1050	12.11					
met_903	1050	279.0903	9.16					
met_904	2004	643.1147	6.52					
met_905	79	179.0710	10.58					
met_906	1708	443.1069	3.00					
met_907	2076	401.2400	8.39					
met_908	2073	358.1979	8.49					
met_909	293	365.1392	12.84		Adduct search		[M+CHOONa] 67.9874 m/z	
met_910	1315	165.0170	6.95					
met_911	957	390.0670	1.28					
met_912	281	313.1638	13.40					
met_913	1355	763.4623	16.88					
met_914	1518	459.3105	15.09					
met_915	545	307.1941	14.27					
met_916	1261	344.1819	7.86					
met_917	1604	210.0405	8.20					
met_918	1572	479.2048	10.21					
met_919	1607	331.0276	0.96					
met_920	1781	329.0866	6.21					
met_921	1948	444.2097	7.13					
met_922	1002	974.3063	12.30					
met_923	255	361.2226	9.03					
met_924	2070	329.1824	7.32					
met_925	226	267.1432	12.67					
met_926	1652	236.0227	0.82					
met_927	1170	161.0817	7.07					
met_928	1715	199.0973	9.67					
met_929	2089	330.2028	7.82					
met_930	1712	351.0886	1.25					
met_931	1474	335.1343	7.76					
met_932	353	243.1961	13.90					
met_933	222	441.2518	13.34					
met_934	1385	327.1632	10.64					
met_935	1950	390.0355	1.90					
met_936	312	251.0921	11.64					
met_937	1899	286.1768	7.84					
met_938	2065	330.2027	7.26					
met_939	216	300.1235	13.43					
met_940	1427	223.0972	10.47					
met_941	1750	484.1929	7.51					
met_942	1035	174.0405	6.75					
met_943	2081	286.1768	6.97					
met_944	1499	473.2500	9.07					
met_945	1526	217.0824	0.83		Adduct search		[M+ACN+H] 42.0338 m/z	
met_946	1325	371.2294	9.11					
met_947	1375	243.1233	9.26					
met_948	1667	309.1074	6.98		Adduct search		[M+Na-H] 21.9825 m/z a	
met_949	1212	273.1854	14.34					
met_950	307	389.1714	13.30		Complex search		Complex of 194.0817 an	
met_951	233	380.9757	12.07					
met_952	1255	503.1605	1.25	439242n	Negative_Garrett_Std_Library.csv	C18H32O16	D-(+)-RAFFINOSE	
met_953	2085	504.2302	7.15					
met_954	1722	131.0712	6.76					
met_955	230	288.9404	14.51	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_956	223	286.9433	14.51	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_957	1769	388.1181	7.47					
met_958	1602	365.0383	0.85					
met_959	1953	474.2558	6.35					
met_960	1847	505.2571	12.52					
met_961	1794	229.0477	0.79					
met_962	1763	513.1059	0.86					
met_963	532	233.0773	11.68					
met_964	1657	289.1804	12.45					
met_965	1493	309.2067	12.16					
met_966	2144	635.2496	12.48					
met_967	1647	237.0800	7.02					
met_968	393	459.1631	14.63					
met_969	1372	219.1021	10.84					
met_970	1632	171.0522	1.19					
met_971	1762	421.0749	0.74					
met_972	2142	316.1869	6.69					
met_973	1152	307.1912	12.03					
met_974	1489	152.0351	7.60					
met_975	2048	389.2035	7.45					
met_976	1908	179.0327	7.74		Adduct search		[M+Na-H] 21.9825 m/z a	
met_977	1685	127.0763	8.61		Adduct search		[M-HCOOH+H]+ -46.0055	
met_978	280	563.3160	12.63		Complex search		Complex of 269.1306 an	
met_979	1063	196.0611	8.38					
met_980	355	239.0592	14.81					
met_981	454	215.1647	12.66					
met_982	1751	319.2269	13.71					
met_983	1311	328.2237	8.19					
met_984	2123	329.1825	7.00					
met_985	1420	144.0448	9.73					
met_986	1613	295.1212	7.30					
met_987	1391	327.2168	10.27					
met_988	2135	329.1823	6.13					
met_989	2054	529.2986	7.64					
met_990	1251	213.0168	0.75					
met_991	2121	217.1187	2.47					
met_992	1935	372.1883	6.89					
met_993	301	327.1792	13.97					
met_994	315	430.9723	12.68					
met_995	1494	243.0182	7.85					
met_996	1773	158.0455	1.24					
met_997	1979	441.0702	0.86					
met_998	1359	265.1803	12.18					
met_999	2060	229.1189	6.92					
met_1000	1856	196.9492	0.71		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1001	1394	215.0921	8.40					
met_1002	1424	122.0246	6.40					
met_1003	2096	415.2198	8.20					
met_1004	1969	371.2297	7.34					
met_1005	224	315.1808	11.45					
met_1006	227	431.2279	10.90					
met_1007	1403	213.1128	9.70					
met_1008	2099	372.1391	6.84		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1009	1428	187.0973	8.13					
met_1010	1961	549.1662	1.08					
met_1011	1621	289.1652	7.57					
met_1012	1634	630.1119	1.27		Complex search		Complex of 306.0759 an	
met_1013	239	345.1314	13.53		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1014	1575	99.0447	6.90					
met_1015	2100	362.2080	8.63					
met_1016	677	846.5451	16.49					
met_1017	245	279.1629	13.20					
met_1018	1042	334.1767	8.36					
met_1019	1611	209.1179	10.38					
met_1020	1681	335.1346	7.39					
met_1021	994	114.0303	0.78					
met_1022	370	313.0780	16.68					
met_1023	1724	187.1083	2.32					
met_1024	349	307.1159	12.60		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1025	1706	185.0275	8.07					
met_1026	1488	309.2067	12.55					
met_1027	82	361.1657	13.74		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1028	2113	272.1612	7.32					
met_1029	2026	228.0511	6.72					
met_1030	336	309.1708	10.92					
met_1031	2112	346.1615	7.16					
met_1032	2010	365.0482	6.30		Adduct search		[M+Na-H] 21.9825 m/z a	
met_1033	1640	230.0124	6.72					
met_1034	263	387.2855	11.54					
met_1035	489	165.0404	16.68					
met_1036	2025	249.0546	7.60					
met_1037	1736	547.0728	0.83					
met_1038	1907	299.1243	7.51					
met_1039	1662	201.1240	4.86					
met_1040	1951	373.1608	8.20					
met_1041	1357	253.1443	9.20					
met_1042	1731	249.0546	2.92					
met_1043	1060	385.0982	6.22					
met_1044	1600	325.2014	10.20					
met_1045	1361	594.2474	10.22					
met_1046	271	383.2409	12.96		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1047	1520	351.1116	8.70					
met_1048	286	397.2201	11.66		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1049	2057	445.2299	7.98					
met_1050	1901	216.9184	0.74					
met_1051	276	425.2569	14.32					
met_1052	487	429.1497	12.75		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1053	1407	513.1219	0.79					
met_1054	1797	570.1969	0.79					
met_1055	330	326.2333	15.64					
met_1056	1371	207.0324	7.17					
met_1057	1599	385.0704	7.83					
met_1058	298	345.1315	12.91		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1059	1534	447.1333	11.39					
met_1060	1373	355.1575	11.00					
met_1061	1072	315.1670	6.99					
met_1062	1517	416.2285	9.32					
met_1063	2126	529.2986	6.58					
met_1064	1742	679.1920	0.98					
met_1065	202	443.3158	13.97		Complex search		Complex of 221.1543 an	
met_1066	989	242.0664	1.20					
met_1067	2133	364.1875	8.11					
met_1068	1402	214.9964	0.74					
met_1069	1765	619.1036	0.84					
met_1070	262	485.2784	13.36					
met_1071	2030	677.2559	16.50					
met_1072	242	311.1859	11.77					
met_1073	1964	305.0697	8.26					
met_1074	1262	139.0399	6.91					
met_1075	1737	667.2608	8.26					
met_1076	257	271.2275	15.07					
met_1077	883	406.1977	8.71					
met_1078	1727	199.0972	11.29					
met_1079	1080	168.0299	1.40					
met_1080	1791	275.0879	0.88					
met_1081	1815	199.0240	6.14					
met_1082	97	277.1439	14.59					
met_1083	1610	373.0380	1.25					
met_1084	1963	474.2561	7.51					
met_1085	1327	430.2434	9.72					
met_1086	481	313.0781	15.67					
met_1087	259	287.2222	12.28					
met_1088	1408	323.1856	9.82					
met_1089	1796	376.0656	6.25					
met_1090	252	317.1365	14.94		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1091	1503	273.1702	9.27					
met_1092	2059	545.1827	0.90					
met_1093	1485	321.1189	7.63					
met_1094	2116	330.1667	7.49					
met_1095	285	295.2272	14.59					
met_1096	1601	153.0191	7.31	3469n	Negative_Garrett_Std_Library.csv	C7H6O4	2,5-DIHYDROXYBENZOATE	
met_1097	1001	342.0424	0.87					
met_1098	2039	305.0804	7.04					
met_1099	419	429.1498	12.11		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1100	2127	429.2354	8.24					
met_1101	240	309.1449	15.58					
met_1102	408	262.0692	13.31		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1103	269	397.2203	11.01		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1104	1146	257.0451	11.37					
met_1105	1644	359.0417	1.25					
met_1106	2115	330.1668	7.22					
met_1107	2129	288.1559	6.43					
met_1108	1445	182.0457	7.73					
met_1109	367	271.2275	15.59					
met_1110	251	299.2584	14.45	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_1111	396	480.9690	13.30					
met_1112	1726	169.0115	2.20		Adduct search		[M+Na-H] 21.9825 m/z a	
met_1113	98	361.1625	13.13		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1114	2159	386.1973	2.77					
met_1115	277	195.1386	12.60					
met_1116	1057	249.0071	1.25					
met_1117	1228	357.1678	12.37		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1118	306	267.1596	13.97					
met_1119	267	377.1574	12.17		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1120	1043	141.0127	1.28					
met_1121	2108	167.0205	1.87	1175n	Negative_Garrett_Std_Library.csv	C5H4N4O3	URATE	
met_1122	2140	318.1662	7.37					
met_1123	1646	907.3076	9.31					
met_1124	1661	259.1186	7.00					
met_1125	1413	223.0959	9.88		Adduct search		[M+Na-H] 21.9825 m/z a	
met_1126	2107	387.0790	6.44					
met_1127	1860	306.1789	11.77					
met_1128	283	449.2751	10.53	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_1129	1387	341.1421	10.67					
met_1130	592	239.0592	16.67					
met_1131	253	327.1961	14.15					
met_1132	1082	224.0541	6.24		Adduct search		[M+Na-H] 21.9825 m/z a	
met_1133	1538	183.0270	2.97		Adduct search		[M+Na-H] 21.9825 m/z a	
met_1134	409	327.2169	11.17					
met_1135	1270	203.0558	5.91					
met_1136	2053	300.1560	7.04					
met_1137	1767	547.0731	1.77					
met_1138	400	165.0404	13.89	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_1139	1747	421.1716	7.89					
met_1140	1803	311.0613	0.80					
met_1141	1835	168.9891	8.13					
met_1142	624	449.2751	10.20					
met_1143	1654	136.0402	8.33	5147n	Negative_Garrett_Std_Library.csv	C7H7NO2	SALICYLAMIDE	
met_1144	1437	215.0921	8.21					
met_1145	265	369.2426	15.40					
met_1146	1515	301.2015	9.83					
met_1147	326	233.1137	13.62					
met_1148	1920	179.0346	8.85					
met_1149	1637	447.2513	14.42					
met_1150	254	341.1736	14.43					
met_1151	1753	771.2403	0.81					
met_1152	1855	507.2720	12.98					
met_1153	264	343.2118	12.33					
met_1154	1904	557.3071	9.99					
met_1155	287	237.1492	12.19					
met_1156	1461	213.1128	10.22					
met_1157	2136	302.1351	6.39					
met_1158	339	238.0718	13.11					
met_1159	1883	185.0276	7.02					
met_1160	2017	273.1090	6.59					
met_1161	2028	273.1090	6.38					
met_1162	1156	251.0404	2.94					
met_1163	1528	479.2115	7.53					
met_1164	2117	401.2399	7.38					
met_1165	539	214.1446	9.47					
met_1166	296	313.2378	13.27					
met_1167	1784	331.0277	1.96		Complex search		Complex of 117.0191 an	
met_1168	1189	314.1357	6.77		Adduct search		[M-NH3+H]+ -17.0265 m/	
met_1169	284	310.1631	10.57		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1170	378	279.1593	12.07					
met_1171	1500	305.1238	7.86					
met_1172	270	257.1755	12.01					
met_1173	1230	603.2131	0.81					
met_1174	1268	193.0236	0.94					
met_1175	412	187.1336	11.80					
met_1176	503	227.1286	10.81					
met_1177	84	159.0102	0.96					
met_1178	1729	201.1240	6.05					
met_1179	1798	129.0556	9.17					
met_1180	1191	491.2500	9.08					
met_1181	1754	375.1672	7.91					
met_1182	1527	291.1964	13.64					
met_1183	248	249.1490	12.90					
met_1184	1546	373.1727	7.35					
met_1185	1530	299.0984	1.22					
met_1186	1828	429.0876	0.89					
met_1187	1664	213.1128	10.36					
met_1188	1881	251.0367	6.50					
met_1189	249	265.1261	14.23					
met_1190	305	209.1542	11.65					
met_1191	1677	244.1296	2.04					
met_1192	274	317.1386	12.35					
met_1193	418	247.1292	13.98					
met_1194	2139	300.1560	7.53					
met_1195	1075	123.0323	6.51					
met_1196	2120	329.1825	6.86					
met_1197	1243	289.1805	12.01					
met_1198	1425	291.1963	13.50					
met_1199	1875	215.0668	0.74					
met_1200	1622	257.0274	2.26					
met_1201	346	299.1481	12.85					
met_1202	1389	155.0104	0.80					
met_1203	1583	373.1724	6.72					
met_1204	1459	145.0869	8.68					
met_1205	1070	213.0012	1.22		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1206	1522	309.2068	13.49					
met_1207	1446	505.2088	11.67		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1208	1574	763.1840	14.42		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1209	1406	361.1993	13.10		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1210	2122	415.2196	7.63					
met_1211	431	209.1542	12.33					
met_1212	1382	569.0709	9.52					
met_1213	2132	445.2297	7.63					
met_1214	1741	319.1029	7.34					
met_1215	403	321.1314	11.65		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1216	1194	190.9481	11.31					
met_1217	1529	157.0503	6.46					
met_1218	1916	244.1297	1.40					
met_1219	1759	189.9403	0.73					
met_1220	1267	429.1238	2.94					
met_1221	1087	242.0665	3.37					
met_1222	2158	540.0526	3.52					
met_1223	1895	227.1035	7.19					
met_1224	1332	184.0611	6.38		Adduct search		[M-H2O+H]+ -18.0106 m/	
met_1225	1077	315.1669	6.24					
met_1226	1913	196.0221	1.58		Adduct search		[M+CHOONa] 67.9874 m/z	
met_1227	407	222.0767	13.76					
met_1228	1756	375.1654	8.83					
met_1229	1623	359.1821	8.11					
met_1230	316	249.0763	11.87					
met_1231	1694	132.0381	6.01					
met_1232	1069	444.2459	7.37					
met_1233	1245	316.1145	0.81					
met_1234	1071	493.1863	6.21					
met_1235	1896	453.1959	7.53					
met_1236	1917	325.2013	10.96					
met_1237	297	417.2124	10.57					
met_1238	357	449.2751	11.09	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_1239	1903	245.0787	10.38					
met_1240	1578	237.0432	1.34		Adduct search		[M-NH3+H]+ -17.0265 m/	
